WKT;ID;SPANNINGSN
"POINT (51.4780181777848 5.12618609324657)";391837.0000000000;LS
"POINT (52.3364289839768 6.11678180183607)";368454.0000000000;LS
"POINT (52.3439394090012 6.19308670698891)";368455.0000000000;LS
"POINT (52.3846772269615 6.56167742741377)";398062.0000000000;LS
"POINT (51.2128908703599 6.04591664343481)";391901.0000000000;LS
"POINT (52.3344533005949 6.22831162317394)";368505.0000000000;LS
"POINT (51.2712151475108 6.04591600714022)";391899.0000000000;LS
"POINT (51.1871769306932 5.80445237687228)";391900.0000000000;LS
"POINT (53.3053702785946 6.46473363303073)";395837.0000000000;LS
"POINT (52.3459818733898 6.09438278169592)";368507.0000000000;LS
"POINT (52.3415534768437 6.20258643076231)";368506.0000000000;LS
"POINT (53.0090239662379 6.54771491803405)";407832.0000000000;LS
"POINT (52.3028508415592 6.53704130162482)";368574.0000000000;LS
"POINT (52.2390620546914 6.50216453000522)";391959.0000000000;LS
"POINT (53.2996732581789 6.6012547569869)";407834.0000000000;LS
"POINT (51.4751357916419 5.11688716528245)";391838.0000000000;LS
"POINT (51.4765565766719 5.07741034452486)";391839.0000000000;LS
"POINT (51.4836138480266 5.12334731390102)";391840.0000000000;LS
"POINT (51.4724828261261 5.1424339577815)";391843.0000000000;LS
"POINT (51.4819641413927 5.11404315118685)";391841.0000000000;LS
"POINT (51.4862131689243 5.1142623069521)";391842.0000000000;LS
"POINT (51.4748298554206 5.13280791430372)";391844.0000000000;LS
"POINT (52.3409698553825 6.10847809503397)";368509.0000000000;LS
"POINT (52.3290295737758 6.12894679619341)";368510.0000000000;LS
"POINT (52.3313001023581 6.21250268116903)";368512.0000000000;LS
"POINT (51.2637414012286 5.91105238374528)";391902.0000000000;LS
"POINT (51.3206842485842 5.90835255186577)";391903.0000000000;LS
"POINT (51.1914336017563 5.79011981615012)";391904.0000000000;LS
"POINT (51.6907658524533 5.14891619913977)";395840.0000000000;LS
"POINT (51.188885149798 5.91698288458813)";405706.0000000000;LS
"POINT (52.4592991317513 6.74278394921429)";391966.0000000000;LS
"POINT (52.2965369133319 6.5478549543141)";368575.0000000000;LS
"POINT (52.2884211535216 6.53321931085339)";368576.0000000000;LS
"POINT (52.3031218082364 6.51897289047865)";368577.0000000000;LS
"POINT (52.2612522557866 6.57604154284264)";391963.0000000000;LS
"POINT (51.6438084116839 4.85389275806526)";401131.0000000000;LS
"POINT (52.5302284144846 6.41986917302405)";397040.0000000000;LS
"POINT (51.4778018460884 5.14066888711285)";391845.0000000000;LS
"POINT (52.3550283301468 6.77323692854003)";400166.0000000000;LS
"POINT (51.3984107483828 6.00849864127412)";391923.0000000000;LS
"POINT (51.4110406806664 6.0293183792733)";391924.0000000000;LS
"POINT (51.2107352552724 5.94211245819281)";391925.0000000000;LS
"POINT (51.265614120563 5.92431739174446)";391926.0000000000;LS
"POINT (51.2709219262996 5.9148667329209)";391927.0000000000;LS
"POINT (51.280187317466 5.75225456443372)";391928.0000000000;LS
"POINT (51.4888332191488 5.91603528209266)";391929.0000000000;LS
"POINT (52.2442583637133 6.79013600985456)";397050.0000000000;LS
"POINT (52.303242752579 6.51302010140144)";368588.0000000000;LS
"POINT (51.7402667173613 5.87220934383144)";391984.0000000000;LS
"POINT (51.2558149932161 5.92377783483799)";397865.0000000000;LS
"POINT (53.0763695393129 6.52857110443785)";398060.0000000000;LS
"POINT (51.5132684679338 5.14432726810933)";391865.0000000000;LS
"POINT (51.4968175836181 5.20729078536539)";391866.0000000000;LS
"POINT (51.496102927077 5.21293468443929)";391867.0000000000;LS
"POINT (51.4995666848148 5.21556034434362)";391868.0000000000;LS
"POINT (51.4915205382756 5.13641778206945)";391869.0000000000;LS
"POINT (52.3338970727266 6.10534577878687)";368464.0000000000;LS
