WKT;ID;SPANNINGSN
"POINT (51.3992885250032 5.15063732642678)";6212940.0000000000;LS
"POINT (51.4117320985501 5.14849593508809)";6212941.0000000000;LS
"POINT (53.1413301546908 6.54853457334174)";6273084.0000000000;LS
"POINT (53.1404240423428 6.54852249445706)";6273085.0000000000;LS
"POINT (53.1251896838233 6.81311202805872)";6276712.0000000000;LS
"POINT (52.9228395310052 6.7959747646036)";6273087.0000000000;LS
"POINT (53.0000966597167 6.54763890172874)";6276713.0000000000;LS
"POINT (51.5761371282755 5.17869858668098)";6275324.0000000000;LS
"POINT (50.8790959283508 5.98632810782714)";6275326.0000000000;LS
"POINT (50.8570714200739 5.81077850480794)";6238527.0000000000;LS
"POINT (51.011978741571 5.85699850043831)";6238543.0000000000;LS
"POINT (51.6573266867545 5.28826844340583)";6273417.0000000000;LS
"POINT (51.7295857686861 5.43306568622518)";6273418.0000000000;LS
"POINT (51.4257788324504 4.34892687626195)";6276155.0000000000;LS
"POINT (50.814118150788 5.91077144879741)";6276156.0000000000;LS
"POINT (50.8707187858452 5.83177236909835)";6273421.0000000000;LS
"POINT (50.8716619003422 5.8313677247371)";6273422.0000000000;LS
"POINT (50.8721762342229 5.8427270459449)";6273423.0000000000;LS
"POINT (50.8671079290053 5.83229642192055)";6273424.0000000000;LS
"POINT (50.8669710697789 5.83241723980414)";6273425.0000000000;LS
"POINT (51.7031014178089 5.26086115184245)";6273674.0000000000;LS
"POINT (51.5707270001863 5.14560785467548)";6273675.0000000000;LS
"POINT (51.5720804359023 4.40446670367245)";6273676.0000000000;LS
"POINT (53.0287721356169 6.98361224169533)";6273088.0000000000;LS
"POINT (52.931669843349 7.02257636143206)";6273089.0000000000;LS
"POINT (52.9853741366238 6.95868171778822)";6273090.0000000000;LS
"POINT (52.9663844380085 6.97376984567286)";6273091.0000000000;LS
"POINT (52.9948998719859 6.95316448993866)";6273092.0000000000;LS
"POINT (52.9948849786212 6.95317852357337)";6273093.0000000000;LS
"POINT (53.0009602583595 6.93126924938842)";6273094.0000000000;LS
"POINT (52.9891562114694 6.98410121053236)";6273095.0000000000;LS
"POINT (52.9238883244437 6.79208088004716)";6273096.0000000000;LS
"POINT (52.9861309743539 6.58193450967354)";6275327.0000000000;LS
"POINT (53.0018717239427 6.54246833515943)";6275328.0000000000;LS
"POINT (50.9170587572542 5.88391733849595)";6238548.0000000000;LS
"POINT (50.9172786051128 5.8841331203052)";6238549.0000000000;LS
"POINT (52.2041449283273 6.87545783798011)";6276157.0000000000;LS
"POINT (51.3614155128633 6.13727520873651)";6273678.0000000000;LS
"POINT (52.3923507855113 6.24768671993742)";6273428.0000000000;LS
"POINT (52.728896085669 6.98677065047741)";6273429.0000000000;LS
"POINT (52.8011508589748 6.68143234661659)";6273679.0000000000;LS
"POINT (53.0016602633905 6.54115554981406)";6275329.0000000000;LS
"POINT (53.0019443399441 6.54096277473459)";6275330.0000000000;LS
"POINT (53.0022301450048 6.541221540368)";6275331.0000000000;LS
"POINT (53.0023489615976 6.5415175741329)";6275332.0000000000;LS
"POINT (52.9867347641118 6.58204110186103)";6275333.0000000000;LS
"POINT (52.9868585245825 6.57663163534686)";6275334.0000000000;LS
