WKT;ID;SPANNINGSN
"POINT (53.2107727327748 6.47489256305818)";379274.0000000000;HS
"POINT (51.4474637872193 5.52959568865651)";352967.0000000000;HS
"POINT (51.4270770278625 5.43284550947637)";352968.0000000000;HS
"POINT (51.4609943561534 5.44434603195529)";352965.0000000000;HS
"POINT (51.3173404969459 5.63180597831732)";337879.0000000000;HS
"POINT (51.4648526713842 5.68853263910831)";337220.0000000000;HS
"POINT (51.7403132445879 5.84447212692243)";340304.0000000000;HS
"POINT (51.6806877581705 5.88419188347833)";340578.0000000000;HS
"POINT (51.7124817288554 5.27410545655163)";343252.0000000000;HS
"POINT (51.7645726703195 5.55050751399578)";341335.0000000000;HS
"POINT (51.6787775839381 5.64909212029204)";353538.0000000000;HS
"POINT (52.2731126173757 6.77462374901745)";363259.0000000000;HS
"POINT (51.594132825527 5.08472437848628)";353281.0000000000;HS
"POINT (51.3230447060638 6.12152159718711)";354314.0000000000;HS
"POINT (50.9435803401105 5.80704512582318)";354249.0000000000;HS
"POINT (51.3758079685604 6.1587086001429)";354478.0000000000;HS
"POINT (51.3903789836375 6.11399614432165)";354510.0000000000;HS
"POINT (51.2234428681378 5.96810928580434)";354715.0000000000;HS
"POINT (50.8617949210048 5.69503925605198)";354572.0000000000;HS
"POINT (50.8319039669504 5.72016438512477)";356006.0000000000;HS
"POINT (51.2359875549132 5.81553570673373)";356794.0000000000;HS
"POINT (50.8974177018424 5.9679800015471)";356472.0000000000;HS
"POINT (50.9805956270342 5.81731843454522)";357411.0000000000;HS
"POINT (50.8631941694743 5.70711327758302)";357286.0000000000;HS
"POINT (51.2702095971183 5.73639167675145)";357876.0000000000;HS
"POINT (51.1471763936284 5.92063769844315)";357811.0000000000;HS
"POINT (51.2013709673616 6.05198782429634)";357694.0000000000;HS
"POINT (51.1820806242983 5.97241181656684)";358637.0000000000;HS
"POINT (50.8540691465395 5.88608338587036)";358835.0000000000;HS
"POINT (50.9347029670263 5.94232231062563)";359566.0000000000;HS
"POINT (50.8684884577023 6.01841891753591)";359482.0000000000;HS
"POINT (51.2468185040165 5.65594141934607)";360219.0000000000;HS
"POINT (51.540451579826 5.99078952068533)";359726.0000000000;HS
"POINT (51.5378633492893 5.0517922709879)";360391.0000000000;HS
"POINT (51.562621646741 5.08513734735084)";360417.0000000000;HS
"POINT (52.3319806411056 6.68872389773131)";362173.0000000000;HS
"POINT (52.1497916138695 6.71576834957668)";362774.0000000000;HS
"POINT (52.4478014515997 6.56615725373229)";362969.0000000000;HS
"POINT (52.2411365958203 6.78401145386546)";363137.0000000000;HS
"POINT (52.2505688714552 6.59102240562133)";362675.0000000000;HS
"POINT (51.5988192247079 5.02508440893468)";344555.0000000000;HS
"POINT (52.5016074514601 6.12356745483338)";388631.0000000000;HS
"POINT (52.5714603386579 5.96011240132878)";388399.0000000000;HS
;388849.0000000000;HS
"POINT (51.422535910912 6.10294112082213)";388870.0000000000;HS
"POINT (52.1979301547365 6.88979960784068)";364775.0000000000;HS
"POINT (52.3937288705981 6.76393082226814)";363695.0000000000;HS
"POINT (52.2136633311305 6.83023981266777)";365008.0000000000;HS
"POINT (52.2272822353494 6.86718543764996)";364720.0000000000;HS
"POINT (52.2366299153974 6.90344706338262)";364759.0000000000;HS
"POINT (53.0090733647357 6.522884249112)";373260.0000000000;HS
"POINT (53.0135537963714 6.58140096335327)";373646.0000000000;HS
"POINT (52.7622069218497 6.92673727323745)";370918.0000000000;HS
"POINT (52.9855868814828 6.82234138213566)";370892.0000000000;HS
"POINT (52.6039122380092 6.49123429311222)";403847.0000000000;HS
"POINT (52.8075332948409 6.90924646743059)";371246.0000000000;HS
"POINT (50.8509267765083 5.7117829736153)";403707.0000000000;HS
"POINT (52.9135201596047 7.03120512285496)";371369.0000000000;HS
"POINT (51.6646263646614 4.58190321316884)";404540.0000000000;HS
"POINT (51.6934034432704 5.96818544991905)";409544.0000000000;HS
"POINT (53.1356350250148 7.05937669648034)";376197.0000000000;HS
