WKT;ID;SPANNINGSN
"POINT (51.5857490086244 5.05176274704263)";393980.0000000000;MS
"POINT (51.4687365033861 4.90169048313082)";407612.0000000000;MS
"POINT (51.5992589278201 4.77232383927519)";394957.0000000000;MS
"POINT (51.528675259194 5.63577547752586)";398905.0000000000;MS
"POINT (51.6471462386456 5.0443984871644)";409436.0000000000;MS
"POINT (52.5655746898238 5.99232108386141)";408970.0000000000;MS
"POINT (52.3385679258876 6.80065145587787)";410048.0000000000;MS
"POINT (51.4484784680749 5.54993134925983)";394564.0000000000;MS
"POINT (51.5210045217685 6.01184163386153)";395027.0000000000;MS
"POINT (52.6892680890139 6.21505886523186)";370007.0000000000;MS
"POINT (51.6119375706968 5.13968873021113)";400282.0000000000;MS
"POINT (51.5883205548812 4.82032723013884)";400283.0000000000;MS
"POINT (52.7090711248194 6.20002138082929)";369964.0000000000;MS
"POINT (51.5070526000132 5.49133312620092)";401219.0000000000;MS
"POINT (52.5915964326505 6.28257841684611)";395921.0000000000;MS
"POINT (51.6414035554326 5.93608266287263)";397387.0000000000;MS
"POINT (52.292784227841 6.76141754961838)";396365.0000000000;MS
"POINT (52.1526997688078 6.73542795751425)";396001.0000000000;MS
"POINT (52.7008803274781 6.18664229471252)";369986.0000000000;MS
"POINT (51.5883436326079 4.90608814628196)";345333.0000000000;MS
"POINT (52.6634941140854 6.43515578539457)";396428.0000000000;MS
"POINT (51.5100745341849 5.63739449246338)";335559.0000000000;MS
"POINT (52.9978391254846 6.53389965923493)";407527.0000000000;MS
"POINT (52.5980472545931 5.99717197142279)";396383.0000000000;MS
"POINT (51.7388193757667 5.63289067676042)";401223.0000000000;MS
"POINT (52.5778067887406 5.98218817823497)";370246.0000000000;MS
"POINT (52.5426312826167 5.91474139818692)";370130.0000000000;MS
"POINT (53.0006971279816 6.92924854511944)";370579.0000000000;MS
"POINT (52.7228639864461 7.01616258764517)";370329.0000000000;MS
"POINT (51.7517385590235 5.12719625831802)";350547.0000000000;MS
"POINT (51.7151899180459 4.86220855734398)";350564.0000000000;MS
"POINT (52.7022837746134 6.86389866394285)";370361.0000000000;MS
"POINT (52.7246592852552 6.99642134109156)";370362.0000000000;MS
"POINT (52.9249079147511 7.0169446624856)";370605.0000000000;MS
"POINT (52.7535569726148 6.87842334082962)";393799.0000000000;MS
"POINT (51.4902979259516 4.28962343388611)";403315.0000000000;MS
"POINT (52.874986848896 7.05003319718502)";370729.0000000000;MS
"POINT (52.6958132580497 6.89904005722246)";370562.0000000000;MS
;393816.0000000000;MS
"POINT (52.6652101775549 6.87530247885826)";370450.0000000000;MS
"POINT (52.6923991219262 6.07376136007721)";408393.0000000000;MS
"POINT (51.4406611278764 4.92721422434239)";347736.0000000000;MS
"POINT (52.9519180177044 6.45248778387979)";373567.0000000000;MS
"POINT (51.2457827006457 5.68427832667052)";401536.0000000000;MS
"POINT (53.0287618860913 6.583614199657)";374037.0000000000;MS
"POINT (53.0292685983595 7.10437491145542)";410296.0000000000;MS
"POINT (50.866329808196 5.68213916824838)";401296.0000000000;MS
"POINT (51.4850525359477 5.13472193936446)";404343.0000000000;MS
"POINT (51.7027527027095 5.04959297527436)";404163.0000000000;MS
"POINT (52.4414881784277 6.57814599884581)";400045.0000000000;MS
"POINT (51.393933452574 5.4413751606258)";403588.0000000000;MS
"POINT (52.2508085822712 6.78272956592904)";401766.0000000000;MS
"POINT (53.1929842399771 6.87453757685096)";408399.0000000000;MS
"POINT (52.6518934652929 6.70730552807803)";408469.0000000000;MS
"POINT (52.6252277097859 6.36319106862041)";408468.0000000000;MS
"POINT (52.6246465932367 6.48256805534758)";408471.0000000000;MS
"POINT (53.189168610021 6.71660196798493)";408476.0000000000;MS
"POINT (51.4460556845174 4.93144811990356)";405693.0000000000;MS
"POINT (52.2623840127249 6.72193922318669)";402186.0000000000;MS
"POINT (51.7011385532645 4.86489285092359)";404166.0000000000;MS
"POINT (51.2445019561854 5.65866012293364)";408490.0000000000;MS
"POINT (52.8507514563891 6.84767116426499)";371005.0000000000;MS
"POINT (51.2370049333634 5.69964625461209)";408491.0000000000;MS
"POINT (51.4502203760036 4.89363114202205)";347817.0000000000;MS
"POINT (52.3076631277828 6.73970435098685)";403418.0000000000;MS
;408529.0000000000;MS
"POINT (52.5735807360672 6.60528183004413)";404109.0000000000;MS
"POINT (51.4531230265969 4.85148112747031)";347812.0000000000;MS
"POINT (52.773792587475 6.80643837589175)";371033.0000000000;MS
"POINT (51.2539306392024 5.71039451621206)";408486.0000000000;MS
"POINT (51.2629706049833 5.72498575132195)";408487.0000000000;MS
"POINT (51.2530403010584 5.68772422897405)";408488.0000000000;MS
"POINT (52.8864620793011 7.04955801737866)";370771.0000000000;MS
"POINT (52.3700631660324 6.37758729838851)";403036.0000000000;MS
"POINT (53.0065491914758 6.75966215247983)";370855.0000000000;MS
"POINT (51.4448241635351 5.48504815953523)";403053.0000000000;MS
"POINT (52.7925272395938 6.89888835005769)";371227.0000000000;MS
"POINT (51.6899298357478 5.28685041003518)";404170.0000000000;MS
"POINT (53.3075358197564 6.85255538166035)";403769.0000000000;MS
"POINT (51.6147615818835 4.7560619620946)";347665.0000000000;MS
"POINT (50.9450578385517 5.99800780885064)";410413.0000000000;MS
"POINT (52.776966027668 6.91368879659803)";371103.0000000000;MS
"POINT (51.2498221740669 5.69055989640509)";403857.0000000000;MS
"POINT (52.7982382971504 6.93867867662827)";371265.0000000000;MS
"POINT (52.2185186179702 6.89582018788577)";409154.0000000000;MS
"POINT (52.3097649609909 6.65498871145797)";403835.0000000000;MS
"POINT (52.8448882821959 6.95743968557884)";371281.0000000000;MS
"POINT (52.7673479690208 6.89496336313933)";371153.0000000000;MS
"POINT (52.8108839653172 7.03627117117619)";371346.0000000000;MS
"POINT (51.2711742671283 5.73509442321603)";404705.0000000000;MS
"POINT (51.2595412740041 5.73029884191856)";404707.0000000000;MS
"POINT (52.9727963143695 6.79217268598771)";371601.0000000000;MS
"POINT (52.5360964528003 6.09913144612582)";409056.0000000000;MS
"POINT (52.5696374182196 6.62142180083857)";404181.0000000000;MS
"POINT (52.5372677098061 6.17260192583557)";404603.0000000000;MS
"POINT (51.2432739912326 5.65493353739921)";404712.0000000000;MS
"POINT (52.6506537362137 6.6275976279207)";409256.0000000000;MS
"POINT (52.9254422823954 6.79143407187465)";371397.0000000000;MS
"POINT (52.7418904615839 7.01084116233534)";371485.0000000000;MS
"POINT (52.6002728605735 6.39027159595011)";371738.0000000000;MS
"POINT (51.5405178350883 5.1816472821976)";346840.0000000000;MS
"POINT (51.5497178213789 5.22893951888622)";346842.0000000000;MS
"POINT (52.6006960332532 6.47325849875385)";371701.0000000000;MS
"POINT (52.5149211505774 6.09836517562321)";367217.0000000000;MS
"POINT (52.515153457263 6.10324214648825)";367214.0000000000;MS
"POINT (50.8945556220116 5.95428357884289)";392067.0000000000;MS
"POINT (52.516259428452 6.07573109334646)";367097.0000000000;MS
"POINT (52.5094305938002 6.09687139338513)";367219.0000000000;MS
"POINT (52.5209069590568 6.0581594183164)";367333.0000000000;MS
"POINT (52.7146415876746 6.86182480426463)";391196.0000000000;MS
"POINT (52.5114668455514 6.07105464720862)";367108.0000000000;MS
"POINT (52.4628893361096 6.49581926209915)";391175.0000000000;MS
"POINT (52.4983548109867 6.11425933605815)";367240.0000000000;MS
"POINT (52.5273601287135 6.15742260101962)";367139.0000000000;MS
"POINT (51.4066675111662 5.42372393781405)";392034.0000000000;MS
"POINT (52.528303532884 6.13892699863297)";367256.0000000000;MS
"POINT (52.4801674542078 6.1205261135561)";367258.0000000000;MS
"POINT (51.4289024366262 5.68200693032973)";392184.0000000000;MS
"POINT (52.4874948228072 6.17209141135784)";367147.0000000000;MS
"POINT (52.6421705945761 6.07516865382)";367043.0000000000;MS
"POINT (52.516222042975 6.05422754261654)";367160.0000000000;MS
"POINT (52.5345296107082 6.01465106293218)";366940.0000000000;MS
"POINT (52.4935617418486 6.10521734274667)";367294.0000000000;MS
"POINT (52.5754351640343 5.93390315536383)";366953.0000000000;MS
"POINT (52.4339634394451 6.70439377566246)";399483.0000000000;MS
"POINT (51.5809881514615 5.4922631528933)";392188.0000000000;MS
"POINT (52.5180163021414 5.95650404940636)";366971.0000000000;MS
"POINT (52.5070834675025 6.08739751240532)";367082.0000000000;MS
"POINT (51.5336367256131 5.036641196136)";402069.0000000000;MS
"POINT (51.4549416070215 5.66644504375811)";392185.0000000000;MS
"POINT (52.5304454271306 6.10589919795149)";367200.0000000000;MS
"POINT (52.5033315755871 6.07116791214612)";367202.0000000000;MS
"POINT (52.5151962999731 6.4140569592525)";367553.0000000000;MS
"POINT (53.2648674386832 6.93843160485229)";392216.0000000000;MS
"POINT (52.5579829945756 6.39631188213901)";367555.0000000000;MS
"POINT (52.5812108976914 6.39450992363205)";367565.0000000000;MS
"POINT (52.4932138351308 6.40464362444053)";367569.0000000000;MS
"POINT (51.5706337842968 5.11446044309623)";392627.0000000000;MS
"POINT (52.5416056410304 6.48348573221214)";367575.0000000000;MS
"POINT (52.4648323669094 6.3559578230142)";367680.0000000000;MS
"POINT (52.5387362020652 6.40878008594147)";367587.0000000000;MS
"POINT (52.4987338176633 6.42124272016958)";367590.0000000000;MS
"POINT (51.2492487034802 5.68045994702144)";408485.0000000000;MS
"POINT (51.2829271665115 5.75705108005437)";391442.0000000000;MS
